NAME,Abbreviation,Median Income
Alabama,AL,52035
Arkansas,AR,49475
Florida,FL,57703
Georgia,GA,61224
Kentucky,KY,52238
Louisiana,LA,50800
Mississippi,MS,46511
North Carolina,NC,56642
South Carolina,SC,54864
Tennessee,TN,54833
